region,province,name,tc,cres,csor,istat,area,pop,alt,isle,sea,pden,wden,urb,fee,d_fee,sample,organic,paper,glass,wood,metal,plastic,raee,texile,other,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill,gdp,proads,wage,finance
Veneto,Venezia,Torre di Mosto,111.629997253418,30.3700008392334,61.72999954223633,27041,38,4739,2,0,0,124.7105255126953,55592.02734375,3,STANDARD,0,1,35.73732885774512,11.46226479848255,12.00370935438015,3.775342639539843,2.388595108064059,3.298513560019257,1.468546464207996,,9.755374800532261,1687667,424830,2112497,79.89,,,,,,,,
Friuli_Venezia_Giulia,Udine,Lignano Sabbiadoro,742,258.5899963378906,307.1700134277344,30049,15.71000003814697,6447,2,0,1,410.3755493164063,1099915.375,2,STANDARD,0,1,,6.431835420940596,.1977468205268491,4.195334506079427,.3285942191839185,.0267366201590296,.4317790541266671,,5.056629839769519,10361279,6612992,17279671,59.96,3,215,17.46755027770996,4.897195816040039,8.604070663452148,3.470558643341064,9.719749450683594,8.862192783355713
Friuli_Venezia_Giulia,Gorizia,Grado,345.2900085449219,105.1100006103516,101,31009,119.5199966430664,8462,2,0,1,70.79986572265625,65408.6796875,2,STANDARD,0,1,14.44720245035429,11.06522488549941,9.595344889669459,3.917803891069497,1.325130522043403,5.457730556964405,.9406797059728346,.407641943321806,3.350190498545278,3948455,3683051,7817645,50.51,3,,17.46755027770996,4.897195816040039,8.066771507263184,,9.70213508605957,8.308774652481079
Veneto,Venezia,Cavallino-Treporti,325.8599853515625,115.2099990844727,123.3600006103516,27044,44.70999908447266,13162,2,0,1,294.3860473632813,433736.75,3,STANDARD,0,1,,7.349333784369833,9.042535801451807,2.519429033171293,1.565430115040091,2.629730146444194,.7203812633525454,.2655528952881984,4.058420915029983,14541390,4850980,19392370,74.98999999999999,3,164,9.898176193237305,11.29678535461426,7.341648101806641,4.410221576690674,9.566230773925781,7.56189754486084
Veneto,Venezia,Ceggia,136.0399932861328,24.04000091552734,62.81999969482422,27007,22.10000038146973,6213,2,0,0,281.1312255859375,113649.3203125,3,STANDARD,0,1,34.72318993490335,15.04190472398622,14.34917285449804,4.569346843708319,6.14162005056437,3.965441044731551,1.459598272052237,.2368960643401748,9.642028148826469,2263730,247920,2511650,90.13,3,180,9.898176193237305,11.29678535461426,6.711467742919922,3.521837949752808,9.608136177062988,6.91281177520752
Sardegna,Oristano,Bosa,256.5499877929688,29.68000030517578,83.83000183105469,95079,128.0200042724609,8026,2,0,1,62.69332885742188,32407.193359375,2,STANDARD,0,0,1.744613884263019,16.00956813936857,12.43356764379988,2.506044564062256,.9790856034645458,9.165128258526806,2.187516345209868,,6.638692103609528,3238329,806880,4148769,78.06,1,200,8.904969215393066,39.52413940429688,7.949886322021484,3.674700021743774,9.229122161865234,8.18838291168213
Veneto,Venezia,Chioggia,267.3399963378906,99.30999755859375,63.18000030517578,27008,187.9100036621094,49735,2,0,1,264.674560546875,154361.0625,2,STANDARD,0,1,3.408813497709973,11.12166946775505,12.12384188133298,6.730438098865589,1.875712762334204,3.572093581921553,1.005585502055145,.8582366116346946,4.084939429918382,19138487,9867500,29005987,65.98,3,181,9.898176193237305,11.29678535461426,7.157829284667969,5.614803314208984,9.44731330871582,7.372564163208008
Toscana,Lucca,Forte dei Marmi,823.9000244140625,126.4599990844727,428.239990234375,46013,9.189999580383301,7660,2,0,1,833.5147094726563,1143631.875,2,STANDARD,0,1,,10.86003431406504,9.270906042030925,.921039210746057,1.007328656126332,4.406185133058344,.6233315851530012,.1724551987559249,8.577231765324678,8282916,2227060,10509976,78.81,2,78.77999877929688,12.07579040527344,31.49303817749023,8.403108596801758,4.528740882873535,10.02400016784668,8.65520185470581
Emilia_Romagna,Forli'-Cesena,Cesenatico,278.989990234375,128.5,88.31999969482422,40008,45.15999984741211,25412,2,0,1,562.7103881835938,605891.875,2,STANDARD,0,1,,7.982599712097868,5.53371388925314,2.356849677634109,.5753218432694945,3.189469249336198,.7324444241730781,,3.842573933352133,13714436,13626960,27362076,50.12,3,147,33.10504913330078,15.23353004455566,7.948447227478027,5.16882848739624,9.589092254638672,8.186900644302368
Lazio,Latina,Gaeta,305.6600036621094,84.90000152587891,127.8199996948242,59009,29.20000076293945,20762,2,0,1,711.0274047851563,429920.625,2,STANDARD,0,0,2.86656911760477,8.322816499349235,10.33292779497459,2.228668670381433,.6741527566053723,1.815220282366538,.5540366122037652,.714770318798077,8.331092954951945,6952603,5601080,12553683,55.38,2,87,11.05105972290039,11.28596973419189,7.785053253173828,5.464464664459229,9.47393798828125,8.018604850769043
