,time,brier_score,label
42,95.0,0.16936488145688963,CPH
43,97.28752000000007,0.17119849311890983,CPH
44,104.0,0.1716332384734897,CPH
45,106.36528000000004,0.17201143952590592,CPH
46,107.0,0.16948699594386155,CPH
47,108.0,0.16833834501071324,CPH
48,109.0,0.1696297126956338,CPH
49,110.53888,0.16981456832294928,CPH
50,112.17360000000002,0.1698621642997748,CPH
51,114.61664000000002,0.1695928039201729,CPH
52,117.44304,0.17097620769630115,CPH
53,120.0,0.1714770273211655,CPH
54,121.0,0.17188094294967177,CPH
55,122.96384000000006,0.17188094294967177,CPH
56,129.61664000000002,0.1793712135725932,CPH
57,136.25680000000017,0.17839838462769003,CPH
58,145.0,0.17808971497082704,CPH
59,146.0,0.1793239963225962,CPH
60,146.15552000000002,0.1793239963225962,CPH
